date,men body wash,men grooming
2025-12-14,68,36
2025-12-15,51,31
2025-12-16,59,0
2025-12-17,38,40
2025-12-18,31,47
2025-12-19,55,53
2025-12-20,43,40
2025-12-21,70,0
2025-12-22,0,49
2025-12-23,43,0
2025-12-24,0,0
2025-12-25,52,0
2025-12-26,49,40
2025-12-27,49,33
2025-12-28,44,50
2025-12-29,53,0
2025-12-30,43,30
2025-12-31,41,43
2026-01-01,50,0
2026-01-02,100,43
2026-01-03,40,0
2026-01-04,0,49
2026-01-05,39,0
2026-01-06,32,41
2026-01-07,0,38
2026-01-08,44,43
2026-01-09,0,42
2026-01-10,53,33
2026-01-11,47,34
2026-01-12,0,0
2026-01-13,40,0
2026-01-14,0,39
2026-01-15,55,0
2026-01-16,45,33
2026-01-17,49,46
2026-01-18,53,39
2026-01-19,40,44
2026-01-20,51,0
2026-01-21,0,32
2026-01-22,0,38
2026-01-23,35,41
2026-01-24,44,0
2026-01-25,51,51
2026-01-26,60,35
2026-01-27,59,0
2026-01-28,48,30
2026-01-29,37,33
2026-01-30,0,50
2026-01-31,41,43
2026-02-01,56,42
2026-02-02,34,32
2026-02-03,83,35
2026-02-04,32,0
2026-02-05,64,0
2026-02-06,34,37
2026-02-07,37,0
2026-02-08,80,57
2026-02-09,49,34
2026-02-10,53,69
2026-02-11,0,43
2026-02-12,43,40
2026-02-13,62,37
2026-02-14,55,53
2026-02-15,44,75
2026-02-16,39,56
2026-02-17,58,38
2026-02-18,43,45
2026-02-19,53,55
2026-02-20,38,49
2026-02-21,62,37
2026-02-22,61,49
2026-02-23,55,33
2026-02-24,55,43
2026-02-25,66,0
2026-02-26,52,0
2026-02-27,0,0
2026-02-28,47,25
2026-03-01,57,25
2026-03-02,43,20
2026-03-03,52,25
2026-03-04,45,22
2026-03-05,42,22
2026-03-06,47,23
2026-03-07,61,26
2026-03-08,56,25
2026-03-09,43,25
2026-03-10,52,24
2026-03-11,49,24
2026-03-12,42,24
2026-03-13,47,23
2026-03-14,47,23
